repropkey,realkey,digclass,digstrat,occupancy,yr_built,efyr_built,grade,obsv_cond,no_bedrms,no_rooms,foundation,ext_walls,roofing,roof_shape,floor_cons,b_a_opt,sqb_area,sqb_fin,sqa_area,sqa_fin,db_desc,db_fin,basemtqual,d_attic,atticqual,floor_fin,int_wall,int_ceil,heat,pl_std,pl_xtra,fullbaths,halfbaths,stht_code,heatedarea,pfunc_dep,pec_dep,pcom,phy_dep,phy_ovr,ovr_val,timp_val,ovr_rsn,cdu,ovrdate,adj_points,apprname,rcn,calc_value,exists,sketch,photo,statehsflg,mavorig,mav,house_no,extension,stdirect,street_nam,sttype,unit,quad,mavovr,sb346val,localhsflg,sb346add
870,1363,R,1,1,1984,1988,1.15,3,0,5,1,10,3,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1782,1.00,1.00,1.00,0.76,0.00,0,105108,,1.00,18991230,1383.00,"MARC BOHN, AVTACS",138300,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
871,1364,R,1,1,1987,1987,1.15,2,4,8,1,2,1,2,1,2,1292,0.90,0,0.00,2,3,4,1,0,2,1,8,1,1,8,3,1,0,1938,0.90,1.00,1.00,0.56,0.00,0,106848,,1.00,18991230,2120.00,"MARC BOHN, AVTACS",212000,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
872,1366,R,1,1,1972,1982,1.00,3,0,7,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,4,8,1,1,3,2,0,1,1499,1.00,1.00,1.00,0.66,0.00,0,73392,,1.00,18991230,1112.00,"CLEGG BAZEMORE, AVTACS",111200,73392,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
873,1367,A,1,1,1920,1976,1.00,3,0,5,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,4,8,1,1,3,2,0,0,2113,0.90,1.00,1.00,0.55,0.00,0,67716,,1.00,18991230,1368.00,"CLEGG BAZEMORE, AVTACS",136800,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
875,1370,R,1,1,1987,1992,1.60,3,0,0,1,1,1,2,1,2,0,0.00,520,1.00,0,0,3,0,3,5,1,8,1,1,8,3,1,0,2944,1.00,1.00,1.00,0.85,0.00,0,253215,,1.00,18991230,2979.00,CHRIS KIGHT - AVTACS,297900,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
876,1371,R,1,1,1988,1988,1.05,3,3,9,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,2393,1.00,1.00,1.00,0.76,0.00,0,121144,,1.00,18991230,1594.00,CHRIS KIGHT - AVTACS,159400,121144,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
877,1372,R,1,1,1976,1984,1.10,3,0,9,1,1,1,2,1,2,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,0,2083,1.00,1.00,1.00,0.69,0.00,0,118818,,1.00,18991230,1722.00,"MARC BOHN, AVTACS",172200,118818,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
878,1373,A,1,4,0,0,0.00,3,0,0,0,0,0,0,0,1,0,0.00,0,0.00,1,0,3,0,3,0,0,0,0,0,0,0,0,1,0,1.00,1.00,1.00,0.00,0.00,0,12528,,1.00,18991230,0.00,"CLEGG BAZEMORE, AVTACS",0,15182,0,0,0,-1,0,0,0,,,,,,,0,0,0,0
881,1380,R,1,1,1965,1982,0.85,3,0,5,1,1,10,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1267,1.00,1.00,1.00,0.66,0.00,0,51876,,1.00,18991230,786.00,"MARC BOHN, AVTACS",78600,0,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
882,7194,R,1,1,1977,1982,0.90,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1488,1.00,1.00,1.00,0.66,0.00,0,63294,,1.00,18991230,959.00,"MARC BOHN, AVTACS",95900,63294,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
883,1382,R,1,4,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1.00,1.00,1.00,0.00,0.00,0,8810,,1.00,18991230,0.00,"MARC BOHN, AVTACS",0,9044,0,0,0,0,0,0,0,,,,,,,0,0,0,0
884,1384,A,1,1,1970,1981,1.00,3,0,6,1,1,10,2,1,1,0,0.00,0,0.00,1,1,3,1,3,1,1,8,1,1,3,2,0,1,1444,1.00,1.00,1.00,0.64,0.00,0,78720,,1.00,18991230,1230.00,"MARC BOHN, AVTACS",123000,78720,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
