fulcrum_id,parcel_num,prop_add,prop_type_name,genprop,condition,comments,lat,long,photo1,photo2,photo3,photo4,var,value
f65179cd-4f3b-4129-84d9-a417d1cf9503,W13    061,73 SHOALS STREET,"Single family home, attached garage",Occupied   ,moderate rehabilitation needed,blank,33.40574449508309,-82.6648085158627,4e0f1301-2ec5-442a-aa40-4bbdefb35442,blank,blank,blank,exterior,ext_repaint
f6bb1402-6367-4902-a30e-326c363a5b8a,W09    045,110 SHOALS STREET,Mobile home,Occupied   ,well maintained,blank,33.40559200632751,-82.66564111582382,fc5a77ab-553f-498d-b693-b492fe68d576,blank,blank,blank,exterior,ext_good
4b162216-eb89-4797-b80b-02a9c8a6f4d8,W09    046,130 SHOALS STREET,Mobile home,Occupied   ,well maintained,blank,33.4053212437821,-82.6657586158903,87c16cae-c1b7-4754-83c8-8a71ae2ca3c1,blank,blank,blank,exterior,ext_good
f51d4fd9-ea14-4438-bda9-a26aaacd2298,W09    047,160 SHOALS STREET,"Single family home, no garage",Occupied   ,minor repairs needed,blank,33.40500808738304,-82.665892469796,5b143430-a2ca-433c-a561-02f72affe435,blank,blank,blank,exterior,ext_good
a58c323e-8849-4ebe-bd56-5a04079740b4,W09    050,190 SHOALS STREET,"Single family home, no garage",Occupied   ,well maintained,blank,33.40458902573173,-82.66648917515307,c0c343d6-15e9-4462-8ced-3ab83fb7db8f,dfd7d33c-ffc7-4296-ae62-b020c03c3d08,81f52a4d-4bd9-42cd-ba1c-3341124f0340,blank,exterior,ext_good
ddc49b23-bc35-457e-970f-b716b198bec7,W09    052,230 SHOALS STREET,"Single family home, no garage", Unoccupied  ,dilapidated,blank,33.40417801696519,-82.66675680946942,ab0c74a7-b0d7-4120-92c8-20b5b4c5ac83,blank,blank,blank,exterior,ext_repaint
5847b407-b82f-48b6-ad60-b63d0f99b21b,W10    025,300 SHOALS STREET,Mobile home,Occupied   ,moderate rehabilitation needed,2 mobile homes on same lot,33.403138959549935,-82.6675674135688,2f39ec87-7588-433b-baad-495fde3e5bbb,af56a198-ecd9-4bb2-9dcf-02d141581930,blank,blank,exterior,ext_cracked
32326df8-12e3-4fae-8260-728f5642e9fc,W10    021,352 SHOALS STREET,"Single family home, no garage",Occupied   ,sound,blank,33.40264788186716,-82.6680278644219,8d11d0d5-8c18-469e-9aa5-5341537d8853,e3703a3c-4aec-4af5-8fa3-26930e37ade6,blank,blank,exterior,ext_good
688b4bfa-fa88-4084-a451-f774b1f6ac39,W10    019,28 JONES CIRCLE,"Single family home, no garage",Occupied   ,sound,blank,33.40252732304892,-82.66814893428692,5e86cb39-fbb1-4beb-992d-9a5d62b79e3a,blank,blank,blank,exterior,ext_good
75b6a98e-0a3f-48ea-83d0-115a01977e2b,W10    017,105 JONES CIRCLE,Mobile home, Unoccupied  ,dilapidated,blank,33.40253984175685,-82.66876522708777,24c9fca7-a9ee-4706-b818-d5de72ec8ada,blank,blank,blank,exterior,ext_nosiding
16a64557-0605-4bee-a523-d0b12774e775,W10    049,94 BRAY ST,"Single family home, no garage", Unoccupied  ,sound,blank,33.403857391824765,-82.66736771601073,2a2d0922-f4bf-4f78-8902-1fad44a3a23d,blank,blank,blank,exterior,ext_repaint
804217bf-6b8a-468d-b4d7-79b77e020e76,W09    030,41 BRAY ST,Mobile home,Occupied   ,well maintained,blank,33.404592037091724,-82.66784487893968,97bf77ed-9101-4f5e-97c1-2436839a2267,blank,blank,blank,exterior,ext_good
28650644-1a48-46fe-abd7-4b502a8f7f56,W09    028,25 BRAY ST,Multifamily,Occupied   ,well maintained,blank,33.40468534191813,-82.66811391014406,48483e19-0cc8-4d64-8e49-a327b735f0c8,d41f076e-8640-4acd-8b22-80fd16b14ce2,blank,blank,exterior,ext_good
c1f3d711-79d7-45ac-ae2c-94f4a1cecb21,W09    057,205 MACON HWY,"Single family home, no garage",Occupied   ,well maintained,blank,33.40477016451579,-82.66836336054565,88ffcb7f-b118-40ac-996e-03f5833b2d18,fe964b19-8533-4f47-bfdd-068394b1d86b,blank,blank,exterior,ext_good
d940d62b-7196-41ca-8cec-4ba615b42c73,W10    056,255 MACON HWY,Mobile home,Occupied   ,well maintained,blank,33.40399470972899,-82.66893553334243,db8c3081-c519-4927-b486-2b186612b5df,blank,blank,blank,exterior,ext_good
2821f3b8-ed8c-46a3-9671-b8402e5635ef,W10    010,271 MACON HWY,Mobile home,Occupied   ,well maintained,blank,33.40372712635778,-82.66888632354834,25728619-aa28-462c-a278-e06f99c77073,blank,blank,blank,exterior,ext_good
15ce6695-7f9f-4f6a-b727-5ea92bd23601,W10    036,154 PARHAM ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.40061953219648,-82.67089812629179,1f3d1bf6-051a-4504-9fc2-df773bd3ef8d,blank,blank,blank,exterior,ext_good
30d84cbc-62d4-463c-b470-3f2a8bd2c7d3,W10    057,399 MACON HWY,Mobile home,Occupied   ,well maintained,blank,33.402115691807396,-82.67038463190273,c3b9f84e-e7e8-47e9-a634-d805e8e89521,blank,blank,blank,exterior,ext_good
50792bd7-7aaa-4eaa-961c-f59f2286b9bc,W10    013,121 BEALL SPRINGS ST,"Single family home, attached garage", Unoccupied  ,well maintained,blank,33.40312710914337,-82.66558885747159,1288cc1e-559a-4831-9af3-50a21cc8911f,blank,blank,blank,exterior,ext_good
71b0de9d-7df3-4d1b-be70-075017c15e6d,W14    006,93 BEALL SPRINGS ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40316500832443,-82.6647173100777,94695e9b-7e7b-4b71-92cb-20759e540a9a,blank,blank,blank,exterior,ext_good
15806ed7-f887-42f0-aaab-7dcf3aa11881,W14    007,27 BEALL SPRINGS ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40318107245205,-82.66379280116519,d079094f-c8f0-4587-9157-07c3249c250c,blank,blank,blank,exterior,ext_good
0dacaac9-da46-48e4-b775-6416f421edd5,W13    068,152 ACADEMY ST,"Single family home, detached garage",Occupied   ,well maintained,blank,33.405200700158694,-82.66401858657814,d9c42c44-bf3e-4784-a37c-ec7e6a2d2485,blank,blank,blank,exterior,ext_good
194696b9-d250-4a6b-900b-9b995370f420,W13    067,178 ACADEMY ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40520424238152,-82.66436209519854,f554720b-0b18-4af5-b5f1-96fa7a7ffcd7,blank,blank,blank,exterior,ext_good
fd750d95-c739-45e5-9d74-34ee7c5affc7,W13    066,306 ACADEMY ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.405199779864994,-82.6647648218295,3bc97196-ce07-4e84-b1ea-333ab8c509e9,blank,blank,blank,exterior,ext_good
43b6b5b1-21c7-418e-acc7-9b45e93d74bc,W13    070,76 ALLEN ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.40573586793238,-82.66413438147895,dad52d8e-1069-49d9-85e2-2d384e001976,blank,blank,blank,exterior,ext_good
7a97e9c4-8841-4757-8d3a-d514fbcd8778,W09    042,67 BRINKLEY ST,"Single family home, no garage",   Status unknown,well maintained,blank,33.40584900017189,-82.66570335944165,e82003af-c9ed-4aed-a968-2709ff08051f,blank,blank,blank,exterior,ext_good
d3bff632-be10-406d-ab6e-d461ca756cb2,W09    040,80 BRINKLEY ST,Mobile home,Occupied   ,well maintained,blank,33.40582672134861,-82.66643650375902,68aeb984-21e8-4995-af54-ecb96f3e9711,blank,blank,blank,exterior,ext_good
0fb9d388-0f5b-4250-acdd-29c5451574e7,W09    036,89 W BRINKLEY ST,Mobile home,Occupied   ,well maintained,blank,33.40556023396021,-82.66653747894918,38622233-c942-4d21-b79c-1606c9e997d0,blank,blank,blank,exterior,ext_good
7633c878-0c89-4ce4-9c34-ec4a556b17c4,W09    035,61 W BRINKLEY ST,"Single family home, no garage",Occupied   ,minor repairs needed,blank,33.40562421234115,-82.66695180324552,a29e030a-5429-4c7b-aac8-ffd0b5c3131f,blank,blank,blank,exterior,ext_repaint
3da0426c-7ad4-431f-8bcb-00bd9c84bee1,W09    033,32 W BRINKLEY ST,Mobile home,Occupied   ,moderate rehabilitation needed,blank,33.40520197832687,-82.66752042954582,62ccbd7c-93ab-4777-b985-48bdcdbeef57,blank,blank,blank,exterior,ext_cracked
ceadd301-a402-46ab-9f94-133bf77ed2dc,W09    023,17 W BRINKLEY ST,Mobile home,Occupied   ,substantial rehabilitation needed,blank,33.40567766802257,-82.66746889425741,78b5d47a-f766-4670-9a11-92ed89c44893,blank,blank,blank,exterior,ext_repaint
8de38d15-fb78-4649-b034-11025691a45c,W09    026,144 MACON HWY,"Single family home, no garage", Unoccupied  ,moderate rehabilitation needed,blank,33.40558813655646,-82.66857108556586,79ec3f6c-678d-47cf-ac97-32cf12dcaab1,blank,blank,blank,exterior,ext_repaint
3e2b96c8-5265-4275-86eb-07b95fdde39e,W09    027,176 MACON HWY,"Single family home, detached garage", Unoccupied  ,dilapidated,blank,33.40504595095715,-82.66881064279242,5c370a2f-03e0-4b0a-acb0-a5279be16d88,blank,blank,blank,exterior,ext_cracked
